side_a_device,side_a_type,side_a_name,side_b_device,side_b_type,side_b_name,type,status,label,description
EMEA-DC-ONPREM-ESX-A01,dcim.interface,iDRAC,EMEA-DC-ONPREM-MGMT-SW-01,dcim.interface,Gi1/0/25,cat6,connected,ESX-A01-MGMT,Management interface to OOB network
EMEA-DC-ONPREM-ESX-A01,dcim.interface,NIC1-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/25,dac-active,connected,ESX-A01-NIC1P1,25G uplink to Spine A01
EMEA-DC-ONPREM-ESX-A01,dcim.interface,NIC1-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/25,dac-active,connected,ESX-A01-NIC1P2,25G uplink to Spine A02
EMEA-DC-ONPREM-ESX-A01,dcim.interface,NIC2-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/26,dac-active,connected,ESX-A01-NIC2P1,25G uplink to Spine A01
EMEA-DC-ONPREM-ESX-A01,dcim.interface,NIC2-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/26,dac-active,connected,ESX-A01-NIC2P2,25G uplink to Spine A02
EMEA-DC-ONPREM-ESX-A02,dcim.interface,iDRAC,EMEA-DC-ONPREM-MGMT-SW-01,dcim.interface,Gi1/0/26,cat6,connected,ESX-A02-MGMT,Management interface to OOB network
EMEA-DC-ONPREM-ESX-A02,dcim.interface,NIC1-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/27,dac-active,connected,ESX-A02-NIC1P1,25G uplink to Spine A01
EMEA-DC-ONPREM-ESX-A02,dcim.interface,NIC1-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/27,dac-active,connected,ESX-A02-NIC1P2,25G uplink to Spine A02
EMEA-DC-ONPREM-ESX-A02,dcim.interface,NIC2-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/28,dac-active,connected,ESX-A02-NIC2P1,25G uplink to Spine A01
EMEA-DC-ONPREM-ESX-A02,dcim.interface,NIC2-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/28,dac-active,connected,ESX-A02-NIC2P2,25G uplink to Spine A02
EMEA-DC-ONPREM-ESX-A03,dcim.interface,iDRAC,EMEA-DC-ONPREM-MGMT-SW-01,dcim.interface,Gi1/0/27,cat6,connected,ESX-A03-MGMT,Management interface to OOB network
EMEA-DC-ONPREM-ESX-A03,dcim.interface,NIC1-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/29,dac-active,connected,ESX-A03-NIC1P1,25G uplink to Spine A01
EMEA-DC-ONPREM-ESX-A03,dcim.interface,NIC1-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/29,dac-active,connected,ESX-A03-NIC1P2,25G uplink to Spine A02
EMEA-DC-ONPREM-ESX-A03,dcim.interface,NIC2-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/30,dac-active,connected,ESX-A03-NIC2P1,25G uplink to Spine A01
EMEA-DC-ONPREM-ESX-A03,dcim.interface,NIC2-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/30,dac-active,connected,ESX-A03-NIC2P2,25G uplink to Spine A02
EMEA-DC-ONPREM-ESX-A04,dcim.interface,iDRAC,EMEA-DC-ONPREM-MGMT-SW-01,dcim.interface,Gi1/0/28,cat6,connected,ESX-A04-MGMT,Management interface to OOB network
EMEA-DC-ONPREM-ESX-A04,dcim.interface,NIC1-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/31,dac-active,connected,ESX-A04-NIC1P1,25G uplink to Spine A01
EMEA-DC-ONPREM-ESX-A04,dcim.interface,NIC1-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/31,dac-active,connected,ESX-A04-NIC1P2,25G uplink to Spine A02
EMEA-DC-ONPREM-ESX-A04,dcim.interface,NIC2-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/32,dac-active,connected,ESX-A04-NIC2P1,25G uplink to Spine A01
EMEA-DC-ONPREM-ESX-A04,dcim.interface,NIC2-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/32,dac-active,connected,ESX-A04-NIC2P2,25G uplink to Spine A02
EMEA-DC-ONPREM-ESX-A05,dcim.interface,iLO,EMEA-DC-ONPREM-MGMT-SW-01,dcim.interface,Gi1/0/29,cat6,connected,ESX-A05-MGMT,Management interface to OOB network
EMEA-DC-ONPREM-ESX-A05,dcim.interface,NIC1-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/33,dac-active,connected,ESX-A05-NIC1P1,25G uplink to Spine A01
EMEA-DC-ONPREM-ESX-A05,dcim.interface,NIC1-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/33,dac-active,connected,ESX-A05-NIC1P2,25G uplink to Spine A02
EMEA-DC-ONPREM-ESX-A05,dcim.interface,NIC2-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/34,aoc,connected,ESX-A05-NIC2P1,10G AOC to Spine A01
EMEA-DC-ONPREM-ESX-A05,dcim.interface,NIC2-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/34,aoc,connected,ESX-A05-NIC2P2,10G AOC to Spine A02
EMEA-DC-ONPREM-ESX-A06,dcim.interface,iLO,EMEA-DC-ONPREM-MGMT-SW-01,dcim.interface,Gi1/0/30,cat6,connected,ESX-A06-MGMT,Management interface to OOB network
EMEA-DC-ONPREM-ESX-A06,dcim.interface,NIC1-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/35,dac-active,connected,ESX-A06-NIC1P1,25G uplink to Spine A01
EMEA-DC-ONPREM-ESX-A06,dcim.interface,NIC1-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/35,dac-active,connected,ESX-A06-NIC1P2,25G uplink to Spine A02
EMEA-DC-ONPREM-ESX-A06,dcim.interface,NIC2-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/36,aoc,connected,ESX-A06-NIC2P1,10G AOC to Spine A01
EMEA-DC-ONPREM-ESX-A06,dcim.interface,NIC2-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/36,aoc,connected,ESX-A06-NIC2P2,10G AOC to Spine A02
EMEA-DC-ONPREM-ESX-B01,dcim.interface,iDRAC,EMEA-DC-ONPREM-MGMT-SW-01,dcim.interface,Gi1/0/31,cat6,connected,ESX-B01-MGMT,Management interface to OOB network
EMEA-DC-ONPREM-ESX-B01,dcim.interface,NIC1-Port1,EMEA-DC-ONPREM-SPINE-B01,dcim.interface,Ethernet1/25,dac-active,connected,ESX-B01-NIC1P1,25G uplink to Spine B01
EMEA-DC-ONPREM-ESX-B01,dcim.interface,NIC1-Port2,EMEA-DC-ONPREM-SPINE-B02,dcim.interface,Ethernet1/25,dac-active,connected,ESX-B01-NIC1P2,25G uplink to Spine B02
EMEA-DC-ONPREM-ESX-B01,dcim.interface,NIC2-Port1,EMEA-DC-ONPREM-SPINE-B01,dcim.interface,Ethernet1/26,dac-active,connected,ESX-B01-NIC2P1,25G uplink to Spine B01
EMEA-DC-ONPREM-ESX-B01,dcim.interface,NIC2-Port2,EMEA-DC-ONPREM-SPINE-B02,dcim.interface,Ethernet1/26,dac-active,connected,ESX-B01-NIC2P2,25G uplink to Spine B02
EMEA-DC-ONPREM-ESX-B02,dcim.interface,iDRAC,EMEA-DC-ONPREM-MGMT-SW-01,dcim.interface,Gi1/0/32,cat6,connected,ESX-B02-MGMT,Management interface to OOB network
EMEA-DC-ONPREM-ESX-B02,dcim.interface,NIC1-Port1,EMEA-DC-ONPREM-SPINE-B01,dcim.interface,Ethernet1/27,dac-active,connected,ESX-B02-NIC1P1,25G uplink to Spine B01
EMEA-DC-ONPREM-ESX-B02,dcim.interface,NIC1-Port2,EMEA-DC-ONPREM-SPINE-B02,dcim.interface,Ethernet1/27,dac-active,connected,ESX-B02-NIC1P2,25G uplink to Spine B02
EMEA-DC-ONPREM-ESX-B02,dcim.interface,NIC2-Port1,EMEA-DC-ONPREM-SPINE-B01,dcim.interface,Ethernet1/28,dac-active,connected,ESX-B02-NIC2P1,25G uplink to Spine B01
EMEA-DC-ONPREM-ESX-B02,dcim.interface,NIC2-Port2,EMEA-DC-ONPREM-SPINE-B02,dcim.interface,Ethernet1/28,dac-active,connected,ESX-B02-NIC2P2,25G uplink to Spine B02
EMEA-DC-ONPREM-ESX-B03,dcim.interface,iDRAC,EMEA-DC-ONPREM-MGMT-SW-01,dcim.interface,Gi1/0/33,cat6,connected,ESX-B03-MGMT,Management interface to OOB network
EMEA-DC-ONPREM-ESX-B03,dcim.interface,NIC1-Port1,EMEA-DC-ONPREM-SPINE-B01,dcim.interface,Ethernet1/29,dac-active,connected,ESX-B03-NIC1P1,25G uplink to Spine B01
EMEA-DC-ONPREM-ESX-B03,dcim.interface,NIC1-Port2,EMEA-DC-ONPREM-SPINE-B02,dcim.interface,Ethernet1/29,dac-active,connected,ESX-B03-NIC1P2,25G uplink to Spine B02
EMEA-DC-ONPREM-ESX-B03,dcim.interface,NIC2-Port1,EMEA-DC-ONPREM-SPINE-B01,dcim.interface,Ethernet1/30,dac-active,connected,ESX-B03-NIC2P1,25G uplink to Spine B01
EMEA-DC-ONPREM-ESX-B03,dcim.interface,NIC2-Port2,EMEA-DC-ONPREM-SPINE-B02,dcim.interface,Ethernet1/30,dac-active,connected,ESX-B03-NIC2P2,25G uplink to Spine B02
EMEA-DC-ONPREM-ESX-B04,dcim.interface,iDRAC,EMEA-DC-ONPREM-MGMT-SW-01,dcim.interface,Gi1/0/34,cat6,connected,ESX-B04-MGMT,Management interface to OOB network
EMEA-DC-ONPREM-ESX-B04,dcim.interface,NIC1-Port1,EMEA-DC-ONPREM-SPINE-B01,dcim.interface,Ethernet1/31,dac-active,connected,ESX-B04-NIC1P1,25G uplink to Spine B01
EMEA-DC-ONPREM-ESX-B04,dcim.interface,NIC1-Port2,EMEA-DC-ONPREM-SPINE-B02,dcim.interface,Ethernet1/31,dac-active,connected,ESX-B04-NIC1P2,25G uplink to Spine B02
EMEA-DC-ONPREM-ESX-B04,dcim.interface,NIC2-Port1,EMEA-DC-ONPREM-SPINE-B01,dcim.interface,Ethernet1/32,dac-active,connected,ESX-B04-NIC2P1,25G uplink to Spine B01
EMEA-DC-ONPREM-ESX-B04,dcim.interface,NIC2-Port2,EMEA-DC-ONPREM-SPINE-B02,dcim.interface,Ethernet1/32,dac-active,connected,ESX-B04-NIC2P2,25G uplink to Spine B02
EMEA-DC-ONPREM-ESX-MGT01,dcim.interface,CIMC,EMEA-DC-ONPREM-MGMT-SW-01,dcim.interface,Gi1/0/35,cat6,connected,ESX-MGT01-MGMT,Management interface to OOB network
EMEA-DC-ONPREM-ESX-MGT01,dcim.interface,NIC1-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/37,aoc,connected,ESX-MGT01-NIC1P1,10G AOC to Spine A01
EMEA-DC-ONPREM-ESX-MGT01,dcim.interface,NIC1-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/37,aoc,connected,ESX-MGT01-NIC1P2,10G AOC to Spine A02
EMEA-DC-ONPREM-ESX-MGT01,dcim.interface,NIC2-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/38,aoc,connected,ESX-MGT01-NIC2P1,10G AOC to Spine A01
EMEA-DC-ONPREM-ESX-MGT01,dcim.interface,NIC2-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/38,aoc,connected,ESX-MGT01-NIC2P2,10G AOC to Spine A02
EMEA-DC-ONPREM-ESX-MGT02,dcim.interface,CIMC,EMEA-DC-ONPREM-MGMT-SW-01,dcim.interface,Gi1/0/36,cat6,connected,ESX-MGT02-MGMT,Management interface to OOB network
EMEA-DC-ONPREM-ESX-MGT02,dcim.interface,NIC1-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/39,aoc,connected,ESX-MGT02-NIC1P1,10G AOC to Spine A01
EMEA-DC-ONPREM-ESX-MGT02,dcim.interface,NIC1-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/39,aoc,connected,ESX-MGT02-NIC1P2,10G AOC to Spine A02
EMEA-DC-ONPREM-ESX-MGT02,dcim.interface,NIC2-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/40,aoc,connected,ESX-MGT02-NIC2P1,10G AOC to Spine A01
EMEA-DC-ONPREM-ESX-MGT02,dcim.interface,NIC2-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/40,aoc,connected,ESX-MGT02-NIC2P2,10G AOC to Spine A02
EMEA-DC-ONPREM-ESX-MGT03,dcim.interface,CIMC,EMEA-DC-ONPREM-MGMT-SW-01,dcim.interface,Gi1/0/37,cat6,connected,ESX-MGT03-MGMT,Management interface to OOB network
EMEA-DC-ONPREM-ESX-MGT03,dcim.interface,NIC1-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/41,aoc,connected,ESX-MGT03-NIC1P1,10G AOC to Spine A01
EMEA-DC-ONPREM-ESX-MGT03,dcim.interface,NIC1-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/41,aoc,connected,ESX-MGT03-NIC1P2,10G AOC to Spine A02
EMEA-DC-ONPREM-ESX-MGT03,dcim.interface,NIC2-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/42,aoc,connected,ESX-MGT03-NIC2P1,10G AOC to Spine A01
EMEA-DC-ONPREM-ESX-MGT03,dcim.interface,NIC2-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/42,aoc,connected,ESX-MGT03-NIC2P2,10G AOC to Spine A02
APAC-DC-ONPREM-ESX-A01,dcim.interface,iDRAC,APAC-DC-ONPREM-MGMT-SW-01,dcim.interface,Gi1/0/25,cat6,connected,ESX-A01-MGMT,Management interface to OOB network
APAC-DC-ONPREM-ESX-A01,dcim.interface,NIC1-Port1,APAC-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/25,dac-active,connected,ESX-A01-NIC1P1,25G uplink to Spine A01
APAC-DC-ONPREM-ESX-A01,dcim.interface,NIC1-Port2,APAC-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/25,dac-active,connected,ESX-A01-NIC1P2,25G uplink to Spine A02
APAC-DC-ONPREM-ESX-A01,dcim.interface,NIC2-Port1,APAC-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/26,dac-active,connected,ESX-A01-NIC2P1,25G uplink to Spine A01
APAC-DC-ONPREM-ESX-A01,dcim.interface,NIC2-Port2,APAC-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/26,dac-active,connected,ESX-A01-NIC2P2,25G uplink to Spine A02
APAC-DC-ONPREM-ESX-A02,dcim.interface,iDRAC,APAC-DC-ONPREM-MGMT-SW-01,dcim.interface,Gi1/0/26,cat6,connected,ESX-A02-MGMT,Management interface to OOB network
APAC-DC-ONPREM-ESX-A02,dcim.interface,NIC1-Port1,APAC-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/27,dac-active,connected,ESX-A02-NIC1P1,25G uplink to Spine A01
APAC-DC-ONPREM-ESX-A02,dcim.interface,NIC1-Port2,APAC-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/27,dac-active,connected,ESX-A02-NIC1P2,25G uplink to Spine A02
APAC-DC-ONPREM-ESX-A02,dcim.interface,NIC2-Port1,APAC-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet1/28,dac-active,connected,ESX-A02-NIC2P1,25G uplink to Spine A01
APAC-DC-ONPREM-ESX-A02,dcim.interface,NIC2-Port2,APAC-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet1/28,dac-active,connected,ESX-A02-NIC2P2,25G uplink to Spine A02
