tunnel,role,device,termination
FR-Agency1-VPN-TO-EMEA-DC-ONPREM,peer,FR-Agency1-MX-01,WAN1
FR-Agency1-VPN-TO-EMEA-DC-ONPREM,hub,EMEA-DC-ONPREM-MERAKI-HUB-MX-01,Tunnel-FR-Agency1
DE-Agency1-VPN-TO-EMEA-DC-ONPREM,peer,DE-Agency1-MX-01,WAN1
DE-Agency1-VPN-TO-EMEA-DC-ONPREM,hub,EMEA-DC-ONPREM-MERAKI-HUB-MX-01,Tunnel-DE-Agency1
GB-Agency1-VPN-TO-EMEA-DC-ONPREM,peer,GB-Agency1-MX-01,WAN1
GB-Agency1-VPN-TO-EMEA-DC-ONPREM,hub,EMEA-DC-ONPREM-MERAKI-HUB-MX-01,Tunnel-GB-Agency1
NL-Agency1-VPN-TO-EMEA-DC-ONPREM,peer,NL-Agency1-MX-01,WAN1
NL-Agency1-VPN-TO-EMEA-DC-ONPREM,hub,EMEA-DC-ONPREM-MERAKI-HUB-MX-01,Tunnel-NL-Agency1
BE-Agency1-VPN-TO-EMEA-DC-ONPREM,peer,BE-Agency1-MX-01,WAN1
BE-Agency1-VPN-TO-EMEA-DC-ONPREM,hub,EMEA-DC-ONPREM-MERAKI-HUB-MX-01,Tunnel-BE-Agency1
CN-Agency1-VPN-TO-APAC-DC-ONPREM,peer,CN-Agency1-MX-01,WAN1
CN-Agency1-VPN-TO-APAC-DC-ONPREM,hub,APAC-DC-ONPREM-MERAKI-HUB-MX-01,Tunnel-CN-Agency1
JP-Agency1-VPN-TO-APAC-DC-ONPREM,peer,JP-Agency1-MX-01,WAN1
JP-Agency1-VPN-TO-APAC-DC-ONPREM,hub,APAC-DC-ONPREM-MERAKI-HUB-MX-01,Tunnel-JP-Agency1
KR-Agency1-VPN-TO-APAC-DC-ONPREM,peer,KR-Agency1-MX-01,WAN1
KR-Agency1-VPN-TO-APAC-DC-ONPREM,hub,APAC-DC-ONPREM-MERAKI-HUB-MX-01,Tunnel-KR-Agency1
SG-Agency1-VPN-TO-APAC-DC-ONPREM,peer,SG-Agency1-MX-01,WAN1
SG-Agency1-VPN-TO-APAC-DC-ONPREM,hub,APAC-DC-ONPREM-MERAKI-HUB-MX-01,Tunnel-SG-Agency1
AU-Agency1-VPN-TO-APAC-DC-ONPREM,peer,AU-Agency1-MX-01,WAN1
AU-Agency1-VPN-TO-APAC-DC-ONPREM,hub,APAC-DC-ONPREM-MERAKI-HUB-MX-01,Tunnel-AU-Agency1
US-Agency1-VPN-TO-AMER-DC-ONPREM,peer,US-Agency1-MX-01,WAN1
US-Agency1-VPN-TO-AMER-DC-ONPREM,hub,AMER-DC-ONPREM-MERAKI-HUB-MX-01,Tunnel-US-Agency1
CA-Agency1-VPN-TO-AMER-DC-ONPREM,peer,CA-Agency1-MX-01,WAN1
CA-Agency1-VPN-TO-AMER-DC-ONPREM,hub,AMER-DC-ONPREM-MERAKI-HUB-MX-01,Tunnel-CA-Agency1
MX-Agency1-VPN-TO-AMER-DC-ONPREM,peer,MX-Agency1-MX-01,WAN1
MX-Agency1-VPN-TO-AMER-DC-ONPREM,hub,AMER-DC-ONPREM-MERAKI-HUB-MX-01,Tunnel-MX-Agency1
BR-Agency1-VPN-TO-AMER-DC-ONPREM,peer,BR-Agency1-MX-01,WAN1
BR-Agency1-VPN-TO-AMER-DC-ONPREM,hub,AMER-DC-ONPREM-MERAKI-HUB-MX-01,Tunnel-BR-Agency1
AR-Agency1-VPN-TO-AMER-DC-ONPREM,peer,AR-Agency1-MX-01,WAN1
AR-Agency1-VPN-TO-AMER-DC-ONPREM,hub,AMER-DC-ONPREM-MERAKI-HUB-MX-01,Tunnel-AR-Agency1
