device,name,type,enabled,description
EMEA-DC-CLOUD-NET-R01-FPP01,Port-1,other,true,Fiber port 1
EMEA-DC-CLOUD-NET-R01-FPP01,Port-2,other,true,Fiber port 2
EMEA-DC-CLOUD-NET-R01-FPP01,Port-3,other,true,Fiber port 3
EMEA-DC-CLOUD-NET-R01-FPP01,Port-4,other,true,Fiber port 4
EMEA-DC-CLOUD-NET-R01-FPP01,Port-5,other,true,Fiber port 5
EMEA-DC-CLOUD-NET-R01-FPP01,Port-6,other,true,Fiber port 6
EMEA-DC-CLOUD-NET-R01-FPP01,Port-7,other,true,Fiber port 7
EMEA-DC-CLOUD-NET-R01-FPP01,Port-8,other,true,Fiber port 8
EMEA-DC-CLOUD-NET-R01-FPP01,Port-9,other,true,Fiber port 9
EMEA-DC-CLOUD-NET-R01-FPP01,Port-10,other,true,Fiber port 10
EMEA-DC-CLOUD-NET-R01-FPP01,Port-11,other,true,Fiber port 11
EMEA-DC-CLOUD-NET-R01-FPP01,Port-12,other,true,Fiber port 12
EMEA-DC-CLOUD-NET-R01-FPP01,Port-13,other,true,Fiber port 13
EMEA-DC-CLOUD-NET-R01-FPP01,Port-14,other,true,Fiber port 14
EMEA-DC-CLOUD-NET-R01-FPP01,Port-15,other,true,Fiber port 15
EMEA-DC-CLOUD-NET-R01-FPP01,Port-16,other,true,Fiber port 16
EMEA-DC-CLOUD-NET-R01-FPP01,Port-17,other,true,Fiber port 17
EMEA-DC-CLOUD-NET-R01-FPP01,Port-18,other,true,Fiber port 18
EMEA-DC-CLOUD-NET-R01-FPP01,Port-19,other,true,Fiber port 19
EMEA-DC-CLOUD-NET-R01-FPP01,Port-20,other,true,Fiber port 20
EMEA-DC-CLOUD-NET-R01-FPP01,Port-21,other,true,Fiber port 21
EMEA-DC-CLOUD-NET-R01-FPP01,Port-22,other,true,Fiber port 22
EMEA-DC-CLOUD-NET-R01-FPP01,Port-23,other,true,Fiber port 23
EMEA-DC-CLOUD-NET-R01-FPP01,Port-24,other,true,Fiber port 24
EMEA-DC-CLOUD-NET-R01-FPP01,Port-25,other,true,Fiber port 25
EMEA-DC-CLOUD-NET-R01-FPP01,Port-26,other,true,Fiber port 26
EMEA-DC-CLOUD-NET-R01-FPP01,Port-27,other,true,Fiber port 27
EMEA-DC-CLOUD-NET-R01-FPP01,Port-28,other,true,Fiber port 28
EMEA-DC-CLOUD-NET-R01-FPP01,Port-29,other,true,Fiber port 29
EMEA-DC-CLOUD-NET-R01-FPP01,Port-30,other,true,Fiber port 30
EMEA-DC-CLOUD-NET-R01-FPP01,Port-31,other,true,Fiber port 31
EMEA-DC-CLOUD-NET-R01-FPP01,Port-32,other,true,Fiber port 32
EMEA-DC-CLOUD-NET-R01-FPP01,Port-33,other,true,Fiber port 33
EMEA-DC-CLOUD-NET-R01-FPP01,Port-34,other,true,Fiber port 34
EMEA-DC-CLOUD-NET-R01-FPP01,Port-35,other,true,Fiber port 35
EMEA-DC-CLOUD-NET-R01-FPP01,Port-36,other,true,Fiber port 36
